amp_id,species,mic_ug_per_ml,n_measurements
190,bacillus subtilis,2.45,4
191,staphylococcus aureus,9.375,2
191,pseudomonas aeruginosa,50.0,1
193,pseudomonas aeruginosa,500.0,6
194,pseudomonas aeruginosa,232.14285714285714,7
194,staphylococcus aureus,125.0,1
194,staphylococcus epidermidis,64.0,1
194,escherichia coli,64.0,1
195,pseudomonas aeruginosa,86.63571428571429,14
195,escherichia coli,17.788888888888888,9
195,staphylococcus aureus,67.2,5
195,staphylococcus epidermidis,14.25,4
195,bacillus subtilis,26.18375,8
195,klebsiella pneumoniae,6.0,2
196,pseudomonas aeruginosa,39.083333333333336,6
197,pseudomonas aeruginosa,28.650000000000002,6
198,pseudomonas aeruginosa,16.771428571428572,7
198,staphylococcus aureus,8.0,1
198,staphylococcus epidermidis,2.0,1
198,escherichia coli,4.0,1
199,pseudomonas aeruginosa,63.800000000000004,6
200,pseudomonas aeruginosa,72.57142857142857,7
200,staphylococcus aureus,8.0,1
200,staphylococcus epidermidis,2.0,1
200,escherichia coli,4.0,1
201,pseudomonas aeruginosa,500.0,6
202,escherichia coli,500.0,2
202,staphylococcus aureus,500.0,1
203,escherichia coli,434.5,2
203,staphylococcus aureus,14.0,1
204,escherichia coli,875.0,2
204,staphylococcus aureus,250.0,1
205,escherichia coli,29.0,2
205,staphylococcus aureus,14.0,1
206,staphylococcus aureus,125.0,1
206,pseudomonas aeruginosa,125.0,1
206,escherichia coli,125.0,1
207,staphylococcus aureus,125.0,1
207,pseudomonas aeruginosa,125.0,1
207,escherichia coli,125.0,1
208,staphylococcus aureus,500.0,1
208,pseudomonas aeruginosa,500.0,1
208,escherichia coli,500.0,1
209,staphylococcus aureus,500.0,1
209,pseudomonas aeruginosa,500.0,1
209,escherichia coli,500.0,1
210,staphylococcus aureus,500.0,1
210,pseudomonas aeruginosa,500.0,1
210,escherichia coli,500.0,1
211,staphylococcus aureus,500.0,1
211,pseudomonas aeruginosa,500.0,1
211,escherichia coli,500.0,1
212,staphylococcus aureus,500.0,1
212,pseudomonas aeruginosa,500.0,1
212,escherichia coli,500.0,1
213,staphylococcus aureus,500.0,1
213,pseudomonas aeruginosa,500.0,1
213,escherichia coli,500.0,1
214,staphylococcus aureus,500.0,1
214,pseudomonas aeruginosa,125.0,1
214,escherichia coli,125.0,1
215,staphylococcus aureus,125.0,1
215,pseudomonas aeruginosa,125.0,1
215,escherichia coli,125.0,1
216,staphylococcus aureus,125.0,1
216,pseudomonas aeruginosa,62.5,1
216,escherichia coli,62.5,1
217,staphylococcus aureus,500.0,1
217,pseudomonas aeruginosa,500.0,1
217,escherichia coli,125.0,1
218,staphylococcus aureus,500.0,1
218,pseudomonas aeruginosa,125.0,1
218,escherichia coli,62.5,1
219,staphylococcus aureus,62.5,1
219,pseudomonas aeruginosa,125.0,1
219,escherichia coli,62.5,1
220,staphylococcus aureus,62.5,1
220,pseudomonas aeruginosa,250.0,1
220,escherichia coli,250.0,1
221,staphylococcus aureus,32.0,1
221,pseudomonas aeruginosa,16.0,1
